analysis_fs_hz,fold,subject,scenario,channel,window,evaluation,reference_rmssd_ms,predicted_rmssd_ms,reference_hr_bpm,predicted_hr_bpm,accepted_fraction,successive_pairs_n,quality_gate,sqi,sqi_spectral,sqi_hr_agreement,sqi_coverage,sqi_prominence,sqi_concentration_raw,sqi_gate_065,sqi_gate_075,rmssd30,rmssd60,hr30,hr60,base30,base60,sqi30,sqi60,cross_fs_consistent,gate_sqi065_consistency,gate_sqi075_consistency
60.000000000,0,subject9,sit,red,3,grouped_stable,21.737775052,21.591879201,81.911262799,82.109732779,1.000000000,80,True,0.949321631,1.000000000,0.981982474,1.000000000,0.815304050,0.850548916,True,True,21.900568874,21.591879201,82.126550938,82.109732779,True,True,0.948317397,0.949321631,True,True,True
60.000000000,0,subject9,sit,ir,4,grouped_stable,25.123153455,23.660714179,82.191780822,81.949473291,1.000000000,80,True,0.949471594,1.000000000,0.981982474,1.000000000,0.815903902,0.812920448,True,True,23.978138706,23.660714179,81.938907284,81.949473291,True,True,0.949230708,0.949471594,True,True,True
60.000000000,0,subject9,sit,red,4,grouped_stable,25.123153455,24.219167672,82.191780822,81.874943915,1.000000000,80,True,0.948378485,1.000000000,0.981982474,1.000000000,0.811531465,0.799021587,True,True,24.78253481,24.219167672,81.90091707,81.874943915,True,True,0.948177819,0.948378485,True,True,True
60.000000000,0,subject9,sleep,ir,0,grouped_stable,34.908042463,33.325749097,69.767441860,69.924734282,1.000000000,69,True,0.899512359,1.000000000,0.884195645,0.957746479,0.756107312,0.813657249,True,True,33.344681428,33.325749097,69.898782393,69.924734282,True,True,0.898136731,0.899512359,True,True,True
60.000000000,0,subject9,sleep,red,0,grouped_stable,34.908042463,40.772338438,69.767441860,69.499075134,1.000000000,69,True,0.884930534,1.000000000,0.884195645,0.957746479,0.697780013,0.801659981,True,True,32.722977622,40.772338438,69.940024851,69.499075134,True,True,0.894248232,0.884930534,False,False,False
60.000000000,0,subject9,sleep,ir,1,grouped_stable,24.487708903,20.558971289,72.289156627,72.197408563,1.000000000,71,True,0.963759479,1.000000000,1.000000000,0.986301370,0.868736546,0.839967812,True,True,20.754573308,20.558971289,72.196547586,72.197408563,True,True,0.958009574,0.963759479,True,True,True
60.000000000,0,subject9,sleep,red,1,grouped_stable,24.487708903,20.612939693,72.289156627,72.238282230,1.000000000,71,True,0.961280772,1.000000000,1.000000000,0.986301370,0.858821717,0.838785297,True,True,20.754510378,20.612939693,72.272127252,72.23828223,True,True,0.957559882,0.961280772,True,True,True
60.000000000,0,subject9,sleep,ir,2,grouped_stable,39.879626570,35.827057781,65.040650407,65.144394292,1.000000000,64,True,0.916780526,1.000000000,0.864629191,0.969696970,0.832795942,0.796109548,True,True,36.700169821,35.827057781,65.148674518,65.144394292,True,True,0.942933196,0.916780526,True,True,True
60.000000000,0,subject9,sleep,red,2,grouped_stable,39.879626570,37.396071726,65.040650407,64.935007895,1.000000000,64,True,0.911928702,1.000000000,0.864629191,0.969696970,0.813388647,0.791255010,True,True,38.466011551,37.396071726,65.056323408,64.935007895,True,True,0.937050014,0.911928702,True,True,True
60.000000000,0,subject9,sleep,ir,3,grouped_stable,34.422760938,33.587274533,67.415730337,67.744221278,1.000000000,67,True,0.863274479,1.000000000,0.824933229,0.956521739,0.671642948,0.802649423,True,True,36.111280766,33.587274533,67.89064145,67.744221278,True,True,0.872140224,0.863274479,True,True,True
60.000000000,0,subject9,sleep,red,3,grouped_stable,34.422760938,34.282711767,67.415730337,67.985062682,1.000000000,67,True,0.859470841,1.000000000,0.824933229,0.956521739,0.656428394,0.815135457,True,True,35.740940572,34.282711767,67.838371266,67.985062682,True,True,0.848819269,0.859470841,True,True,True
60.000000000,0,subject9,sleep,ir,4,grouped_stable,47.008893473,57.480994637,61.538461538,61.724501438,1.000000000,60,True,0.860120673,1.000000000,0.739563660,0.935483871,0.765435163,0.753944808,True,True,57.003604537,57.480994637,61.773887592,61.724501438,True,True,0.887564629,0.860120673,True,True,True
60.000000000,0,subject9,sleep,red,4,grouped_stable,47.008893473,57.974321441,61.538461538,61.761759444,0.983606557,58,True,0.862490021,1.000000000,0.739563660,0.935483871,0.774912554,0.748773767,True,True,64.162184745,57.974321441,61.165751303,61.761759444,True,True,0.863303468,0.862490021,False,False,False
60.000000000,1,subject2,sit,ir,0,grouped_stable,14.108951060,15.474310288,81.632653061,81.796826661,1.000000000,79,True,0.878188331,1.000000000,0.803979250,0.964285714,0.744488358,0.857669867,True,True,14.701437387,15.474310288,81.807461029,81.796826661,True,True,0.880029456,0.878188331,True,True,True
60.000000000,1,subject2,sit,red,0,grouped_stable,14.108951060,25.245825762,81.632653061,82.120551545,0.975308642,77,True,0.882257876,1.000000000,0.803979250,0.976190476,0.748861778,0.857775772,True,True,25.262722784,25.245825762,82.177049294,82.120551545,True,True,0.884316159,0.882257876,True,True,True
60.000000000,1,subject2,sit,ir,1,grouped_stable,20.518284529,18.701696798,75.235109718,75.902738754,1.000000000,75,True,0.928846760,1.000000000,0.904837418,0.961038961,0.849510660,0.803394117,True,True,18.897490542,18.701696798,75.874284841,75.902738754,True,True,0.926452014,0.92884676,True,True,True
60.000000000,1,subject2,sit,red,1,grouped_stable,20.518284529,21.725887996,75.235109718,75.649866750,1.000000000,75,True,0.926456937,1.000000000,0.904837418,0.961038961,0.839951370,0.777369209,True,True,21.723905969,21.725887996,75.637421993,75.64986675,True,True,0.925447311,0.926456937,True,True,True
60.000000000,1,subject2,sit,ir,2,grouped_stable,20.737967382,24.036888758,80.536912752,80.814459949,1.000000000,77,True,0.934764747,1.000000000,1.000000000,0.987500000,0.751558988,0.786620285,True,True,23.759048209,24.036888758,80.817056849,80.814459949,True,True,0.893537724,0.934764747,True,True,True
60.000000000,1,subject2,sit,red,2,grouped_stable,20.737967382,31.173631995,80.536912752,80.352418023,1.000000000,77,True,0.917123278,1.000000000,1.000000000,0.987500000,0.680993114,0.756012860,True,True,37.112019026,31.173631995,80.017348453,80.352418023,True,True,0.898915876,0.917123278,False,False,False
60.000000000,1,subject2,sit,ir,3,grouped_stable,46.002682022,24.027611054,81.081081081,81.709273626,1.000000000,79,True,0.893278625,1.000000000,0.981982474,0.987804878,0.603327147,0.679055118,True,True,24.072347013,24.027611054,81.730218182,81.709273626,True,True,0.887605234,0.893278625,True,True,True
